type;description;support_material;subtype;filler_loadind;previous_thickness;min_thickness;max_thickness;min_pore_size;max_pore_size;pore_volume;specific_surface_area;surface_area;temperature;feed_pressure;permeate_pressure;delta_pressure;feed_flow_rate;sweep_gas;sweep_gas_flow;stage_cut;aging;x_He;P_He;P_He;x_H2;P_H2;P_H2;x_CO2;P_CO2;P_CO2;x_O2;P_O2;P_O2;x_H2S;P_H2S;P_H2S;x_N2;P_N2;P_N2;x_CO;P_CO;P_CO;x_CH4;P_CH4;P_CH4;x_C2H6;P_C2H6;P_C2H6;x_SF6;P_SF6;P_SF6;provided_data_type ;in_reference_data_location;reference;url
polymeric;PI-0.25;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;411;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;1;193;1.29E-09;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.50;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;219;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;1;133;8.90E-10;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.75;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;63;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;1;105;7.03E-10;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-1.00;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;53;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;1;59;3.95E-10;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-0.25;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;367;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;1;157;1.05E-09;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-0.50;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;83;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;1;74;4.95E-10;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-0.75;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;56;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;1;33;2.21E-10;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-1.00;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;41;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;1;11;7.36E-11;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.25;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;411;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;1;238;1.59E-09;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.50;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;219;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;1;159;1.06E-09;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.75;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;63;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;1;117;7.83E-10;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-1.00;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;53;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;1;55;3.68E-10;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-0.25;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;367;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;1;201;1.35E-09;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-0.50;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;83;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;1;78;5.22E-10;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-0.75;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;56;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;1;30;2.01E-10;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;IPI-1.00;NaN;ionic copolyimides;none;none;40;60;NaN;NaN;NaN;41;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;1;8.4;5.62E-11;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.25;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;411;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;1;191;1.28E-09;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
polymeric;PI-0.50;NaN;polyimides;none;none;40;60;NaN;NaN;NaN;219;NaN;308;200000;1000;199000;NaN;NaN;NaN;0.5;NaN;none;none;none;none;none;none;1;121;8.10E-10;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;permeability;table 2;XIE W et al 2022;https://doi.org/10.1016/j.seppur.2021.120091
