,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,aging,Py_He,Py_H2,Py_CO2,Py_O2,Py_H2S,Py_N2,Py_CO,Py_CH4,Py_C2H6,Py_SF6,provided_data_type,in_reference_data_location,reference,url
4,polymer,PI-0.25,none,polyimides,0.0,,50.0,,,411.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,0.0,193.0,238.0,191.0,37.0,,9.0,,6.0,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
5,polymer,PI-0.50,none,polyimides,0.0,,50.0,,,219.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,0.0,133.0,159.0,121.0,22.0,,5.0,,3.0,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
6,polymer,PI-0.75,none,polyimides,0.0,,50.0,,,63.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,0.0,105.0,117.0,66.0,14.0,,2.8,,1.5,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
7,polymer,PI-1.00,none,polyimides,0.0,,50.0,,,53.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,0.0,59.0,55.0,25.0,4.8,,0.9,,0.44,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
8,polymer,IPI-0.25,none,ionic copolyimides,0.0,,50.0,,,367.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,0.0,157.0,201.0,178.0,35.0,,7.8,,5.3,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
9,polymer,IPI-0.50,none,ionic copolyimides,0.0,,50.0,,,83.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,0.0,74.0,78.0,44.0,8.5,,1.5,,0.97,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
10,polymer,IPI-0.75,none,ionic copolyimides,0.0,,50.0,,,56.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,0.0,33.0,30.0,13.0,2.6,,0.4,,0.25,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
11,polymer,IPI-1.00,none,ionic copolyimides,0.0,,50.0,,,41.0,,308.0,200000.0,1000.0,199000.0,,none,,0.5,0.0,11.0,8.4,2.2,0.46,,0.06,,0.03,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
297,polymer,untreated,none,PIM-1,0.0,,90.0,,,685.0,2.14,298.0,,,100000.0,,none,,,0.0,758.0,1740.0,4970.0,742.0,,280.0,,410.0,,,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
298,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,none,,,0.0,1706.0,4500.0,13300.0,2200.0,,857.0,,1150.0,,,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
299,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,none,,,1200.0,1140.0,2440.0,2840.0,600.0,,125.0,,159.0,,,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
314,polymer,EtOH_100 treaded,none,PIM-1,0.0,,125.4,,,759.0,2.14,298.0,,,100000.0,,none,,,2117.0,1128.0,2418.0,3317.0,665.0,,148.0,,192.0,,,permeability,table S1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
357,polymer,untreated,none,PIM-1,0.0,,90.0,,,685.0,2.14,298.0,,,100000.0,,none,,,3.998911,779.8514,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
358,polymer,untreated,none,PIM-1,0.0,,90.0,,,685.0,2.14,298.0,,,100000.0,,none,,,37.73106,826.3419,,,676.9041,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
359,polymer,untreated,none,PIM-1,0.0,,90.0,,,685.0,2.14,298.0,,,100000.0,,none,,,248.9525,983.1133,,,629.6693,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
360,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,none,,,7.024282,1494.707,,8427.223,1589.161,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
361,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,none,,,62.81426,1377.378,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
362,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,none,,,571.8492,1218.425,,,,,,,,,,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
