,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,aging,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,Py_He,Pe_He,Py_H2,Pe_H2,Py_CO2,Pe_CO2,Py_O2,Pe_O2,Py_H2S,Pe_H2S,Py_N2,Pe_N2,Py_CO,Pe_CO,Py_CH4,Pe_CH4,Py_C2H6,Pe_C2H6,Py_SF6,Pe_SF6,provided_data_type,in_reference_data_location,reference,url
4,1,1,1,1,0.0,,50.0,,,411.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,193.0,1.29171256959143e-09,238.0,1.59288907545472e-09,191.0,1.27832694710862e-09,37.0,2.47634015932036e-10,,,9.0,6.02353011726575e-11,,,6.0,4.01568674484383e-11,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
5,1,2,1,1,0.0,,50.0,,,219.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,133.0,8.9014389510705e-10,159.0,1.06415698738362e-09,121.0,8.09830160210173e-10,22.0,1.47241847310941e-10,,,5.0,3.34640562070319e-11,,,3.0,2.00784337242192e-11,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
6,1,3,1,1,0.0,,50.0,,,63.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,105.0,7.02745180347671e-10,117.0,7.83058915244548e-10,66.0,4.41725541932822e-10,14.0,9.36993573796894e-11,,,2.8,1.87398714759379e-11,,,1.5,1.00392168621096e-11,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
7,1,4,1,1,0.0,,50.0,,,53.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,59.0,3.94875863242977e-10,55.0,3.68104618277351e-10,25.0,1.6732028103516e-10,4.8,3.21254939587507e-11,,,0.9,6.02353011726575e-12,,,0.44,2.94483694621881e-12,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
8,1,5,1,2,0.0,,50.0,,,367.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,157.0,1.0507713649008e-09,201.0,1.34525505952268e-09,178.0,1.19132040097034e-09,35.0,2.34248393449224e-10,,,7.8,5.22039276829698e-11,,,5.3,3.54718995794539e-11,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
9,1,6,1,2,0.0,,50.0,,,83.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,74.0,4.95268031864073e-10,78.0,5.22039276829698e-10,44.0,2.94483694621881e-10,8.5,5.68888955519543e-11,,,1.5,1.00392168621096e-11,,,0.97,6.4920269041642e-12,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
10,1,7,1,2,0.0,,50.0,,,56.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,33.0,2.20862770966411e-10,30.0,2.00784337242192e-10,13.0,8.70065461382831e-11,2.6,1.74013092276566e-11,,,0.4,2.67712449656256e-12,,,0.25,1.6732028103516e-12,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
11,1,8,1,2,0.0,,50.0,,,41.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,11.0,7.36209236554703e-11,8.4,5.62196144278137e-11,2.2,1.47241847310941e-11,0.46,3.07869317104694e-12,,,0.06,4.01568674484383e-13,,,0.03,2.00784337242192e-13,,,,,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
297,1,51,1,4,0.0,,90.0,,,685.0,0.0,2.14,298.0,,,100000.0,,0,,,758.0,2.81841717832558e-09,1740.0,6.46971753335951e-09,4970.0,1.84795954832165e-08,742.0,2.75892552284641e-09,,,280.0,1.04110397088544e-09,,,410.0,1.52447367165368e-09,,,,,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
298,1,52,1,4,0.0,,110.0,,,759.0,0.0,2.14,298.0,,,100000.0,,0,,,1706.0,5.18997089901786e-09,4500.0,1.3689841175604e-08,13300.0,4.04610861412295e-08,2200.0,6.69281124140639e-09,,,857.0,2.60715419722058e-09,,,1150.0,3.49851496709879e-09,,,,,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
