,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,aging,gas,Py,provided_data_type,in_reference_data_location,reference,url
4,1,1,1,1,0.0,,50.0,,,411.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,260.0,193.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
5,1,2,1,1,0.0,,50.0,,,219.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,260.0,133.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
6,1,3,1,1,0.0,,50.0,,,63.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,260.0,105.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
7,1,4,1,1,0.0,,50.0,,,53.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,260.0,59.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
8,1,5,1,2,0.0,,50.0,,,367.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,260.0,157.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
9,1,6,1,2,0.0,,50.0,,,83.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,260.0,74.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
10,1,7,1,2,0.0,,50.0,,,56.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,260.0,33.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
11,1,8,1,2,0.0,,50.0,,,41.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,0.0,260.0,11.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
297,1,51,1,4,0.0,,90.0,,,685.0,2.14,298.0,,,100000.0,,0,,,0.0,260.0,758.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
298,1,52,1,4,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,0,,,0.0,260.0,1706.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
299,1,52,1,4,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,0,,,1200.0,260.0,1140.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
314,1,53,1,4,0.0,,125.4,,,759.0,2.14,298.0,,,100000.0,,0,,,2117.0,260.0,1128.0,permeability,table S1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
357,1,51,1,4,0.0,,90.0,,,685.0,2.14,298.0,,,100000.0,,0,,,3.998911,260.0,779.8514,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
358,1,51,1,4,0.0,,90.0,,,685.0,2.14,298.0,,,100000.0,,0,,,37.73106,260.0,826.3419,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
359,1,51,1,4,0.0,,90.0,,,685.0,2.14,298.0,,,100000.0,,0,,,248.9525,260.0,983.1133,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
360,1,52,1,4,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,0,,,7.024282,260.0,1494.707,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
361,1,52,1,4,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,0,,,62.81426,260.0,1377.378,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
362,1,52,1,4,0.0,,110.0,,,759.0,2.14,298.0,,,100000.0,,0,,,571.8492,260.0,1218.425,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
363,1,54,1,4,0.0,,110.9054,,,759.0,2.14,298.0,,,100000.0,,0,,,2.796417,260.0,1206.038,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
364,1,54,1,4,0.0,,110.9054,,,759.0,2.14,298.0,,,100000.0,,0,,,27.59159,260.0,1157.736,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
365,1,54,1,4,0.0,,110.9054,,,759.0,2.14,298.0,,,100000.0,,0,,,185.3366,260.0,1096.329,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
366,1,55,1,4,0.0,,132.508,,,759.0,2.14,298.0,,,100000.0,,0,,,3.998911,260.0,921.5036,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
367,1,55,1,4,0.0,,132.508,,,759.0,2.14,298.0,,,100000.0,,0,,,28.85321,260.0,930.9683,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
368,1,55,1,4,0.0,,132.508,,,759.0,2.14,298.0,,,100000.0,,0,,,187.0013,260.0,890.644,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
669,1,76,1,8,0.0,,,,,,,308.0,,,500000.0,,0,,,0.0,260.0,23.1,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
670,3,88,1,17,5.0,,,1.12,,,,308.0,,,500000.0,,0,,,0.0,260.0,27.7,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
671,3,88,1,17,10.0,,,1.12,,,,308.0,,,500000.0,,0,,,0.0,260.0,35.2,permeability,table 3,AKBARI A et al 2020,https://doi.org/10.1016/j.cep.2020.107804
