,type,description,support_material,subtype,filler_loading,previous_thickness,mean_thickness,mean_pore_size,pore_volume,specific_surface_area,aging,surface_area,temperature,feed_pressure,permeate_pressure,delta_pressure,feed_flow_rate,sweep_gas,sweep_gas_flow,stage_cut,gas,Py,provided_data_type,in_reference_data_location,reference,url
4,polymer,PI-0.25,none,polyimides,0.0,,50.0,1.085,,411.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,260.0,193.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
5,polymer,PI-0.50,none,polyimides,0.0,,50.0,1.085,,219.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,260.0,133.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
6,polymer,PI-0.75,none,polyimides,0.0,,50.0,1.085,,63.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,260.0,105.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
7,polymer,PI-1.00,none,polyimides,0.0,,50.0,1.05,,53.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,260.0,59.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
8,polymer,IPI-0.25,none,ionic copolyimides,0.0,,50.0,1.085,,367.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,260.0,157.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
9,polymer,IPI-0.50,none,ionic copolyimides,0.0,,50.0,1.085,,83.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,260.0,74.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
10,polymer,IPI-0.75,none,ionic copolyimides,0.0,,50.0,1.085,,56.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,260.0,33.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
11,polymer,IPI-1.00,none,ionic copolyimides,0.0,,50.0,1.085,,41.0,0.0,,308.0,200000.0,1000.0,199000.0,,0,,0.5,260.0,11.0,permeability,table 2,XIE W et al 2022,https://doi.org/10.1016/j.seppur.2021.120091
297,polymer,untreated,none,PIM-1,0.0,,90.0,0.85,,685.0,0.0,2.14,298.0,,,100000.0,,0,,,260.0,758.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
298,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,0.85,,759.0,0.0,2.14,298.0,,,100000.0,,0,,,260.0,1706.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
299,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,0.85,,759.0,1200.0,2.14,298.0,,,100000.0,,0,,,260.0,1140.0,permeability,table 1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
314,polymer,EtOH_100 treaded,none,PIM-1,0.0,,125.4,0.85,,759.0,2117.0,2.14,298.0,,,100000.0,,0,,,260.0,1128.0,permeability,table S1,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
357,polymer,untreated,none,PIM-1,0.0,,90.0,0.85,,685.0,3.998911,2.14,298.0,,,100000.0,,0,,,260.0,779.8514,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
358,polymer,untreated,none,PIM-1,0.0,,90.0,0.85,,685.0,37.73106,2.14,298.0,,,100000.0,,0,,,260.0,826.3419,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
359,polymer,untreated,none,PIM-1,0.0,,90.0,0.85,,685.0,248.9525,2.14,298.0,,,100000.0,,0,,,260.0,983.1133,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
360,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,0.85,,759.0,7.024282,2.14,298.0,,,100000.0,,0,,,260.0,1494.707,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
361,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,0.85,,759.0,62.81426,2.14,298.0,,,100000.0,,0,,,260.0,1377.378,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
362,polymer,EtOH_25 treaded,none,PIM-1,0.0,,110.0,0.85,,759.0,571.8492,2.14,298.0,,,100000.0,,0,,,260.0,1218.425,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
363,polymer,EtOH_75 treaded,none,PIM-1,0.0,,110.9054,0.85,,759.0,2.796417,2.14,298.0,,,100000.0,,0,,,260.0,1206.038,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
364,polymer,EtOH_75 treaded,none,PIM-1,0.0,,110.9054,0.85,,759.0,27.59159,2.14,298.0,,,100000.0,,0,,,260.0,1157.736,permeability,fig 2,BERNARDO P et al 2017,http://dx.doi.org/10.1016/j.polymer.2016.10.040
